experience_id,experience_name,city,combined_id,sub_category_id,status
14281,Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,Krakow,2197,1010,available
8128,Palmitos Park,Gran Canaria,3095,,available
14461,Tickets To Thyssen-Bornemisza Museum with Traditional Meal,Madrid,2930,1002,available
15328,Exterior Grand Walking Tour of Prague & Prague Castle,Prague,1214,1009,available
14253,Conservation Drive to Al Maha Desert Resort with Gourmet Breakfast,Dubai,262,1073,available
14866,Cadaqués Walking Tour & Boat Trip,Barcelona,,1010,available
13265,Skip-the-Line Guided Tour of Palazzo Vecchio Museum,Florence,2574,1002,available
15549,Bucharest Airport Transfer by Car (Up to 3 Passengers),Bucharest,,1019,available
16722,SUMMIT One Vanderbilt - SUMMIT Experience Tickets,New York,,1007,available
7655,Versailles Skip the Line Tickets with Return Transfers,Paris,269,1007,available
9103,"South Coast & Northern Lights Tour: Southern Iceland Lava Fields, Glaciers & Beaches",Reykjavik,3617,1010,available
17198,Bali - Private Car Rental With Driver Tour,Bali,,1013,available
3318,"Full-Day Tour of Zaanse Schans, Volendam and Marken from Amsterdam",Amsterdam,3569,1010,available
11734,The Seagull,London,167,1037,available
16685,Blue Lagoon & Trogir Half-Day Boat Tour,Split,,1034,available
1868,Dubai Aquarium & Underwater Zoo Tickets,Dubai,367,1003,available
9088,Laguna Waterpark Tickets,Dubai,2859,1001,available
16106,SkyHelix Sentosa Tickets,Singapore,,1056,available
17375,Rose,London,,1037,available
10167,"I amsterdam City Card: Canal Cruise, Public Transport And Attractions Entry",Amsterdam,1915,1008,available
16754,Split: Game of Thrones Small-Group Tour with Diocletian's Cellar,Split,,1010,available
11662,Dhow Dinner Cruise with Live Entertainment in Dubai Creek,Dubai,3519,1060,available
15112,SEA LIFE Oberhausen Ticket,Oberhausen,3262,1003,available
14686,1-Hour Felucca Sunset Sail on the Nile,Cairo,2826,1060,available
16791,Sforza Castle Entry + Self-Guided Audio Tour of Castle & Milan,Milan,2217,1007,available
9079,Florence Duomo Express Guided Tour,Florence,535,1007,available
13006,"The Arches, Animas & Quimixto From Puerto Vallarta with Lunch",Puerto Vallarta,,1032,available
9245,Full Day Mont Saint Michel Guided Tour,Paris,1337,1010,available
14948,Vall de Núria Pyrenees Hiking Tour,Barcelona,,1071,available
