,experience_id,experience_name,similar_experience
0,14281.0,Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,"Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Krakow: Vistula River Cruise and Wieliczka Salt Mine Group Tour,,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch"
1,14289.0,Krakow Guided Tour by E-Scooter with Food Tasting,"Krakow: Rynek Underground Museum Guided Tour,,From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,1 Day Hop On Hop Off Tour,,Creepy Krakow: 2-Hour City Walking Tour,,City Sightseeing: 1 Day Hop On Hop Off Krakow Tour,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise"
2,16090.0,Krakow: Kazimierz by Golf Cart + Schindler's Factory Museum Tour,"Krakow: Old Town by Golf Cart, Wawel and Underground Museum: Guided Tour,,Krakow: Old Town Sightseeing by Golf Cart and Wawel Castle Guided Tour,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Skip the Line English Guided Tour of Wawel Castle"
3,15459.0,Oskar Schindler's Story & Walking Tour,"Guided Tour of Schindler's Factory and Plaszow Concentration Camp,,Krakow-Plaszow Concentration Camp Tour,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Skip the Line Guided Tour of Oskar Schindler’s Factory,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Wawel Hill & Wawel Castle: Surroundings Tour with Audio Guide,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour"
4,15679.0,Panoramic Sightseeing Cruise on the Vistula River - 1 Hour,"Krakow Sightseeing on a Private Gondola Cruise,,1-Hour Evening Vistula River Cruise,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise,,Krakow: Sightseeing Cruise on the Vistula River by Catamaran,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine"
5,13896.0,Krakow Balice Airport Transfers - To/From the City Center,"Krakow Airport: Private Transfer Tickets,,Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Energylandia Amusement Park Ticket with Transfers,,Krakow: Extreme Shooting Range with Hotel Transfer,,Zakopane Tour with Hot Bath Pools & Hotel Transfers,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch"
6,16477.0,Krakow: Sightseeing Cruise on the Vistula River by Catamaran,"1-Hour Evening Vistula River Cruise,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise,,Krakow: Vistula River Cruise and Wieliczka Salt Mine Group Tour,,Krakow Sightseeing on a Private Gondola Cruise,,Panoramic Sightseeing Cruise on the Vistula River - 1 Hour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Krakow: Extreme Shooting Range with Hotel Transfer,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch"
7,16089.0,"Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour","Wieliczka Salt Mine: Half-Day Trip from Krakow,,Krakow: Old Town Sightseeing by Golf Cart and Wawel Castle Guided Tour,,Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Krakow: Old Town by Golf Cart, Wawel and Underground Museum: Guided Tour,,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,,Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,,Krakow: Kazimierz by Golf Cart + Schindler's Factory Museum Tour"
8,14300.0,Krakow Card: Museums and Attractions without Transport (3 Days),"Krakow: Old Town Sightseeing by Golf Cart and Wawel Castle Guided Tour,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Krakow: Shooting + Quad Bike Riding + BBQ Meal,,Krakow: Old Town by Golf Cart, Wawel and Underground Museum: Guided Tour,,Krakow Card - Museums and Attractions Pass,,Krakow: Kazimierz by Golf Cart + Schindler's Factory Museum Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise"
9,15619.0,Fast-Track Tickets to the Energylandia,"Energylandia Amusement Park Ticket with Transfers,,Auschwitz-Birkenau: Fast-Track Tickets,,Schindler's Factory Tickets: Skip The Line,,Krakow Sightseeing on a Private Gondola Cruise,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch"
